,Unnamed: 0,id,full_name,prefix,pdes,class,diameter,diameter_sigma,albedo,rot_per,GM,BV,UB,IR,e,a,q,i,moid,spec_B,spec_T,dv,dv2
6856,567363,bK10U08D,       (2010 UD8),,2010 UD8,AMO,,,,,,,,,0.2605749442959479,1.420368378608163,1.0502559674726148,4.7271476474629495,0.0720071,,,4.921593,3.8936797563208083
6857,567364,bK10U08E,       (2010 UE8),,2010 UE8,AMO,,,,,,,,,0.268275662544422,1.4543045248558568,1.0641500149088008,2.636090791727295,0.0848548,,,4.918918,3.9018190616694364
6858,567367,bK10U08K,       (2010 UK8),,2010 UK8,APO,,,,,,,,,0.7005557171602844,2.184840770923801,0.6542380777682488,1.8688505228943215,0.0198671,,,7.763075,7.868919959285942
6859,567368,bK10U08L,       (2010 UL8),,2010 UL8,APO,,,,,,,,,0.3627887959329578,1.570983675921791,1.001048399703792,15.037994067785812,0.104734,,,6.417505,6.185554760087288
6860,567701,bK10U51E,       (2010 UE51),,2010 UE51,APO,,,,,,,,,0.059705276963858925,1.055203059790128,0.992201868852247,0.6242791929111817,0.0100413,,,3.826533,1.9332970510173486
6861,568057,bK10U95X,       (2010 UX95),,2010 UX95,AMO,,,,,,,,,0.3948716084584875,2.122437968126745,1.2843474737991727,4.581113009395599,0.27905,,,6.881124000000002,6.7214361367622395
6862,568162,bK10V00E,       (2010 VE),,2010 VE,APO,,,,,,,,,0.4399858876510804,1.490376150611258,0.8346316770505633,8.943127771581835,0.128366,,,6.32527,5.784588863932148
6863,568163,bK10V00F,       (2010 VF),,2010 VF,APO,,,,,,,,,0.7549838671526891,1.8549432572463191,0.4544910235416878,3.711620304789645,0.0161375,,,9.04837,9.006327689280246
6864,568164,bK10V00G,       (2010 VG),,2010 VG,AMO,,,,,,,,,0.1190100008379794,1.308521194988937,1.15279408647679,14.697331483977553,0.184292,,,7.129838,6.31954051258485
6865,568165,bK10V00H,       (2010 VH),,2010 VH,AMO,,,,,,,,,0.412554669581065,1.795451279272983,1.0547294700036172,11.3719617663407,0.0648964,,,6.351296,6.177105732432547
6866,568166,bK10V00J,       (2010 VJ),,2010 VJ,AMO,,,,,,,,,0.5102997560521795,2.500772169089395,1.224628741260997,8.38531834371485,0.242587,,,7.350788,7.5815159135537025
6867,568167,bK10V00K,       (2010 VK),,2010 VK,APO,,,,,,,,,0.4070673247419892,1.257720885929854,0.7457438096222639,33.44255555986103,0.17845,,,12.24009,12.988743306750516
6868,568168,bK10V00L,       (2010 VL),,2010 VL,APO,,,,,,,,,0.4161727586238359,1.04576847115498,0.6105481216325804,15.64229925439297,0.0455733,,,8.88435,8.162325626771006
6869,568169,bK10V00M,       (2010 VM),,2010 VM,APO,,,,,,,,,0.3571542965921907,1.5744426384204229,1.012123685370624,14.364729153435421,0.087159,,,6.337242,6.0636494071021145
6870,568170,bK10V00O,       (2010 VO),,2010 VO,AMO,,,,,,,,,0.1888029783800873,1.33217902607505,1.080659658216597,9.907002632999848,0.110149,,,5.6197620000000015,4.598908837916881
6871,568171,bK10V00P,       (2010 VP),,2010 VP,APO,,,,,,,,,0.6010028440642347,1.971132457884402,0.7864762446685511,5.246359021122333,0.0261816,,,6.943992999999999,6.885403416592909
6872,568173,bK10V00R,       (2010 VR),,2010 VR,APO,,,,,,,,,0.2688982934788868,1.382765135899722,1.010941950574185,19.216068638693,0.0558549,,,7.244636,7.014080547306591
6873,568175,bK10V00U,       (2010 VU),,2010 VU,APO,,,,,,,,,0.3597479679260686,1.47720846866938,0.9457857238623912,2.829707385565851,0.0352026,,,5.059574,4.212975959558859
6874,568178,bK10V00X,       (2010 VX),,2010 VX,APO,,,,,,,,,0.3565017532818783,1.52907740003234,0.9839586260171148,10.96773934735677,0.106371,,,5.751639,5.24828556912889
6875,568179,bK10V00Y,       (2010 VY),,2010 VY,APO,,,,,,,,,0.622877515517838,2.388296723634681,0.9006803940977185,5.172243694412175,0.036046100000000005,,,6.805494,6.997290271509437
6876,568180,bK10V00Z,       (2010 VZ),,2010 VZ,APO,,,,,,,,,0.590160156671796,2.448887471902301,1.0036516578128398,8.454287971657418,0.0484017,,,6.875655,7.140953542621264
6877,568181,bK10V01B,       (2010 VB1),,2010 VB1,APO,,,,,,,,,0.270771795718677,1.134759129283691,0.8274983621393838,2.613618087772585,0.000551359,,,5.364228,3.861587952323359
6878,568182,bK10V01D,       (2010 VD1),,2010 VD1,APO,,,,,,,,,0.5429906932802426,2.091696911439885,0.9559249553649996,6.005280682751438,0.0528679,,,6.286683,6.273237484917276
6879,568183,bK10V01E,       (2010 VE1),,2010 VE1,AMO,,,,,,,,,0.3616278599367881,1.996299300076649,1.274381856396622,7.149794668653402,0.316454,,,6.869680000000002,6.64423349154031
6880,568184,bK10V01F,       (2010 VF1),,2010 VF1,APO,,,,,,,,,0.6532322620582194,1.2441429894154672,0.4314286501157263,22.13665023690001,0.229528,,,11.519286,11.68045023552807
6881,568185,bK10V01G,       (2010 VG1),,2010 VG1,APO,,,,,,,,,0.5317235786842001,1.6979238417305058,0.7950977002723364,12.36191233203177,0.049665,,,7.253491,7.158622289024588
6882,568186,bK10V01H,       (2010 VH1),,2010 VH1,APO,,,,,,,,,0.2226046535853605,1.1800188356334742,0.9173411515030838,41.663345007554156,0.08687230000000001,,,15.523257999999998,16.619012986365725
6883,568187,bK10V01J,       (2010 VJ1),,2010 VJ1,APO,,,,,,,,,0.3610262864153191,1.453161990488824,0.9285323135027505,20.12658710139597,0.0797277,,,7.68275,7.665444981229527
6884,568189,bK10V01L,       (2010 VL1),,2010 VL1,AMO,,,,,,,,,0.5520466624480239,2.762040866445281,1.237265424579115,10.322309410745241,0.318417,,,7.775614,8.186308622656005
6885,568190,bK10V01M,       (2010 VM1),,2010 VM1,AMO,,,,,,,,,0.4425698210920763,2.1057477217287053,1.173807329258185,5.822168493169223,0.178387,,,6.589662,6.490777548976589
6886,568191,bK10V01N,       (2010 VN1),,2010 VN1,APO,,,,,,,,,0.4657001976101937,1.6312675572197,0.871585933467388,3.359034392874872,0.00090563,,,5.869763,5.351235472562669
6887,568192,bK10V01O,       (2010 VO1),,2010 VO1,APO,,,,,,,,,0.2712450187115382,1.3786488321606007,1.0046972038845592,9.949658129004202,0.0198086,,,5.281509,4.438435529698756
6888,568231,bK10V11T,       (2010 VT11),,2010 VT11,APO,,,,,,,,,0.6118468636842092,1.754555539111187,0.6810362353462505,2.478149604929515,0.0122945,,,7.294173,7.037250294067883
6889,568232,bK10V11U,       (2010 VU11),,2010 VU11,AMO,,,,,,,,,0.2527365209119428,1.5314610833703568,1.144404937247298,16.09508718876796,0.154442,,,7.182318,6.858529058928432
6890,568235,bK10V11Z,       (2010 VZ11),,2010 VZ11,APO,,,,0.156,,,,,0.1537383844574187,1.1042869236772328,0.9345156360536424,4.64406977379695,0.00481227,,,4.650325,3.001891842436786
6891,568236,bK10V12A,       (2010 VA12),,2010 VA12,APO,,,,,,,,,0.8433518089382612,1.268684622641843,0.1987371511646893,37.36000471306718,0.0527294,,,17.388416,18.553567668802817
6892,568314,bK10V21O,       (2010 VO21),,2010 VO21,APO,,,,,,,,,0.2602184046159386,1.327188820447512,0.9818298629665506,1.9719373117200087,0.00555168,,,4.44603,3.2223615217197463
